"","site_id","year","month","day","variable","value"
"22817","i36",1929,5,1,"cru_324_frs",28.91
"22884","i36",1929,6,1,"cru_324_frs",13.99
"22951","i36",1929,7,1,"cru_324_frs",7.15
"23018","i36",1929,8,1,"cru_324_frs",10.78
"23085","i36",1929,9,1,"cru_324_frs",20.59
"23152","i36",1929,10,1,"cru_324_frs",30.12
"23219","i36",1929,11,1,"cru_324_frs",30
"23286","i36",1929,12,1,"cru_324_frs",31
"23353","i36",1930,1,1,"cru_324_frs",31
"23420","i36",1930,2,1,"cru_324_frs",28
"23487","i36",1930,3,1,"cru_324_frs",31
"23554","i36",1930,4,1,"cru_324_frs",30
"23621","i36",1930,5,1,"cru_324_frs",28.84
"23688","i36",1930,6,1,"cru_324_frs",12.7
"23755","i36",1930,7,1,"cru_324_frs",4.09
"23822","i36",1930,8,1,"cru_324_frs",8.79
"23889","i36",1930,9,1,"cru_324_frs",21.77
"23956","i36",1930,10,1,"cru_324_frs",31
"24023","i36",1930,11,1,"cru_324_frs",30
"24090","i36",1930,12,1,"cru_324_frs",31
"24157","i36",1931,1,1,"cru_324_frs",31
"24224","i36",1931,2,1,"cru_324_frs",28
"24291","i36",1931,3,1,"cru_324_frs",31
"24358","i36",1931,4,1,"cru_324_frs",30
"24425","i36",1931,5,1,"cru_324_frs",29.98
"24492","i36",1931,6,1,"cru_324_frs",13.73
"24559","i36",1931,7,1,"cru_324_frs",7.84
"24626","i36",1931,8,1,"cru_324_frs",13.65
"24693","i36",1931,9,1,"cru_324_frs",22.57
"24760","i36",1931,10,1,"cru_324_frs",30.94
"24827","i36",1931,11,1,"cru_324_frs",30
"24894","i36",1931,12,1,"cru_324_frs",31
"24961","i36",1932,1,1,"cru_324_frs",31
"25028","i36",1932,2,1,"cru_324_frs",29
"25095","i36",1932,3,1,"cru_324_frs",31
"25162","i36",1932,4,1,"cru_324_frs",30
"25229","i36",1932,5,1,"cru_324_frs",28.32
"25296","i36",1932,6,1,"cru_324_frs",14.25
"25363","i36",1932,7,1,"cru_324_frs",6.06
"25430","i36",1932,8,1,"cru_324_frs",8.31
"25497","i36",1932,9,1,"cru_324_frs",23.59
"25564","i36",1932,10,1,"cru_324_frs",30.86
"25631","i36",1932,11,1,"cru_324_frs",30
"25698","i36",1932,12,1,"cru_324_frs",31
"25765","i36",1933,1,1,"cru_324_frs",31
"25832","i36",1933,2,1,"cru_324_frs",28
